,S&P_500,NASDAQ,US_10Y_Bond,VIX,Unemployment_Rate,CPI
2021-05-14,4173.85009765625,13429.98046875,1.6349999904632568,18.809999465942383,5.8,268.383
2021-05-17,4163.2900390625,13379.0498046875,1.6399999856948853,19.719999313354492,5.8,268.383
2021-05-18,4127.830078125,13303.6396484375,1.6419999599456787,21.34000015258789,5.8,268.383
2021-05-19,4115.68017578125,13299.740234375,1.6829999685287476,22.18000030517578,5.8,268.383
2021-05-20,4159.1201171875,13535.740234375,1.6339999437332153,20.670000076293945,5.8,268.383
2021-05-21,4155.85986328125,13470.990234375,1.6319999694824219,20.149999618530273,5.8,268.383
2021-05-24,4197.0498046875,13661.169921875,1.6080000400543213,18.399999618530273,5.8,268.383
2021-05-25,4188.1298828125,13657.169921875,1.5640000104904175,18.84000015258789,5.8,268.383
2021-05-26,4195.990234375,13738.0,1.5740000009536743,17.360000610351562,5.8,268.383
2021-05-27,4200.8798828125,13736.2802734375,1.6100000143051147,16.739999771118164,5.8,268.383
2021-05-28,4204.10986328125,13748.740234375,1.5809999704360962,16.760000228881836,5.8,268.383
2021-06-01,4202.0400390625,13736.48046875,1.6150000095367432,17.899999618530273,5.9,270.654
2021-06-02,4208.1201171875,13756.330078125,1.590999960899353,17.479999542236328,5.9,270.654
2021-06-03,4192.85009765625,13614.509765625,1.625,18.040000915527344,5.9,270.654
2021-06-04,4229.89013671875,13814.490234375,1.559999942779541,16.420000076293945,5.9,270.654
2021-06-07,4226.52001953125,13881.7197265625,1.569000005722046,16.420000076293945,5.9,270.654
2021-06-08,4227.259765625,13924.91015625,1.527999997138977,17.06999969482422,5.9,270.654
2021-06-09,4219.5498046875,13911.75,1.4889999628067017,17.889999389648438,5.9,270.654
2021-06-10,4239.18017578125,14020.330078125,1.4589999914169312,16.100000381469727,5.9,270.654
2021-06-11,4247.43994140625,14069.419921875,1.4620000123977661,15.649999618530273,5.9,270.654
2021-06-14,4255.14990234375,14174.1396484375,1.5010000467300415,16.389999389648438,5.9,270.654
2021-06-15,4246.58984375,14072.8603515625,1.4989999532699585,17.020000457763672,5.9,270.654
2021-06-16,4223.7001953125,14039.6796875,1.569000005722046,18.149999618530273,5.9,270.654
2021-06-17,4221.85986328125,14161.349609375,1.5110000371932983,17.75,5.9,270.654
2021-06-18,4166.4501953125,14030.3798828125,1.4500000476837158,20.700000762939453,5.9,270.654
2021-06-21,4224.7900390625,14141.48046875,1.4839999675750732,17.889999389648438,5.9,270.654
2021-06-22,4246.43994140625,14253.26953125,1.472000002861023,16.65999984741211,5.9,270.654
2021-06-23,4241.83984375,14271.73046875,1.4869999885559082,16.31999969482422,5.9,270.654
2021-06-24,4266.490234375,14369.7099609375,1.4869999885559082,15.970000267028809,5.9,270.654
2021-06-25,4280.7001953125,14360.3896484375,1.5360000133514404,15.619999885559082,5.9,270.654
2021-06-28,4290.60986328125,14500.509765625,1.4780000448226929,15.760000228881836,5.9,270.654
2021-06-29,4291.7998046875,14528.330078125,1.4800000190734863,16.020000457763672,5.9,270.654
2021-06-30,4297.5,14503.9501953125,1.4429999589920044,15.829999923706055,5.9,270.654
2021-07-01,4319.93994140625,14522.3798828125,1.4800000190734863,15.479999542236328,5.4,271.903
2021-07-02,4352.33984375,14639.330078125,1.430999994277954,15.069999694824219,5.4,271.903
2021-07-06,4343.5400390625,14663.6396484375,1.3700000047683716,16.440000534057617,5.4,271.903
2021-07-07,4358.1298828125,14665.0595703125,1.3209999799728394,16.200000762939453,5.4,271.903
2021-07-08,4320.81982421875,14559.7802734375,1.2879999876022339,19.0,5.4,271.903
2021-07-09,4369.5498046875,14701.919921875,1.3559999465942383,16.18000030517578,5.4,271.903
